iter	Logloss
0	0.6298072998
1	0.5814208496
2	0.5434765564
3	0.516620636
4	0.4923575195
5	0.4740963867
6	0.4600487366
7	0.447840686
8	0.439462323
9	0.433051825
10	0.4269467407
11	0.4222264893
12	0.4183350861
13	0.4144669159
14	0.4113472351
15	0.4085907043
16	0.4063615021
17	0.4043998199
18	0.4025655426
19	0.4011950684
20	0.4001026794
21	0.398337384
22	0.3974645721
23	0.3963108307
24	0.3955575165
25	0.3948996277
26	0.3940306061
27	0.3932643585
28	0.39248508
29	0.3921170959
30	0.3910882782
31	0.3906564209
32	0.3898150452
33	0.3895487213
34	0.3893419159
35	0.3890932007
36	0.3888540894
37	0.3885038544
38	0.3880770111
39	0.3878313904
40	0.3876069427
41	0.3874196228
42	0.38715401
43	0.3870394653
44	0.3860708862
45	0.3858524506
46	0.3856983673
47	0.3855859924
48	0.3853571259
49	0.3852068878
50	0.3846809265
51	0.384578299
52	0.3844422424
53	0.3843171417
54	0.383770874
55	0.3835881897
56	0.3834974823
57	0.3833711456
58	0.3832324554
59	0.3831543976
60	0.3828856232
61	0.3824001953
62	0.3822110107
63	0.3821128693
64	0.3818253998
65	0.3814752991
66	0.38132435
67	0.3812405609
68	0.3811789215
69	0.3810147217
70	0.3808753693
71	0.3807670654
72	0.3807113739
73	0.3805550262
74	0.3803496643
75	0.3802373566
76	0.3801776947
77	0.3800787842
78	0.3799694275
79	0.3798874603
80	0.3797386597
81	0.3796519318
82	0.3795431396
83	0.3794430054
84	0.3793669098
85	0.3788734802
86	0.3787615326
87	0.3784742645
88	0.378429306
89	0.3783021454
90	0.3782301636
91	0.3781297211
92	0.3780523743
93	0.377947522
94	0.3778732239
95	0.3777904236
96	0.3776399628
97	0.377578656
98	0.3775138214
99	0.3772898621
