iter	Passed	Remaining
0	128	12746
1	131	6422
2	133	4309
3	136	3267
4	138	2627
5	140	2198
6	142	1896
7	145	1669
8	147	1488
9	149	1343
10	151	1229
11	153	1128
12	155	1043
13	158	971
14	160	910
15	162	854
16	164	803
17	167	761
18	169	721
19	171	684
20	173	651
21	175	623
22	177	595
23	179	568
24	181	544
25	183	522
26	185	501
27	187	481
28	189	462
29	191	446
30	193	429
31	194	414
32	196	399
33	198	385
34	200	372
35	202	359
36	204	347
37	206	336
38	208	326
39	210	315
40	212	305
41	214	295
42	215	286
43	217	277
44	220	268
45	221	260
46	223	252
47	225	244
48	227	236
49	229	229
50	230	221
51	232	214
52	234	208
53	236	201
54	238	195
55	240	188
56	242	183
57	244	177
58	246	171
59	248	165
60	250	159
61	252	154
62	253	149
63	255	143
64	258	139
65	260	134
66	261	129
67	263	124
68	265	119
69	267	114
70	268	109
71	270	105
72	271	100
73	273	95
74	274	91
75	275	87
76	277	82
77	278	78
78	279	74
79	280	70
80	281	66
81	282	62
82	283	58
83	284	54
84	286	50
85	288	46
86	289	43
87	290	39
88	293	36
89	294	32
90	295	29
91	297	25
92	298	22
93	300	19
94	301	15
95	302	12
96	303	9
97	304	6
98	306	3
99	307	0
